instrument_name,tick_size,taker_commission,strike,settlement_period,settlement_currency,rfq,quote_currency,option_type,min_trade_amount,maker_commission,kind,is_active,instrument_id,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_commission,base_currency,underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,estimated_delivery_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta
BTC-24JUN22-52000-P,0.0005,0.0003,52000.0,month,BTC,False,BTC,put,0.1,0.0003,option,True,213599,1656057600000,1648199543000,USD,1.0,0.0003,BTC,41405.01,BTC-24JUN22,1650479461302,open,0.28,2.0,0.2315,0.3425,0.28017511,56.85,0.272,0.0,41180.34,41180.34,51.39,0.274,14.0,0.285,14.0,60.8,2.0,0.0,0.272,0.272,49.0894,-21.61278,-78.94037,3e-05,-0.79769
BTC-22APR22-35000-P,0.0005,0.0003,35000.0,week,BTC,False,BTC,put,0.1,0.0003,option,True,213598,1650614400000,1648713605000,USD,1.0,0.0003,BTC,41188.03,BTC-22APR22,1650479461302,open,0.0,324.4,0.0001,0.015,1.393e-05,80.78,0.0005,0.0,41180.34,41180.34,0.0,0.0,0.0,0.0005,90.5,119.91,,,,,0.08601,-0.57356,-0.00169,0.0,-0.00094
BTC-29APR22-49000-C,0.0005,0.0003,49000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213589,1651219200000,1648627260000,USD,1.0,0.0003,BTC,41176.91,BTC-29APR22,1650479461300,open,0.0,876.6,0.0001,0.0155,0.00088101,57.61,0.001,0.0,41180.34,41180.34,52.88,0.0005,59.8,0.0015,107.1,63.07,324.4,0.0,0.0005,0.0015,3.92694,-13.21103,0.25196,2e-05,0.02697
BTC-24JUN22-55000-C,0.0005,0.0003,55000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213588,1656057600000,1643620628000,USD,1.0,0.0003,BTC,41405.01,BTC-24JUN22,1650479461305,open,0.02,1526.3,0.0015,0.0505,0.01648234,57.58,0.0175,0.0,41180.34,41180.34,57.08,0.016,50.5,0.017,11.6,58.11,82.0,-5.4054,0.016,0.02,39.97287,-17.82497,9.52513,2e-05,0.14654
BTC-27MAY22-36000-C,0.0005,0.0003,36000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213584,1653638400000,1645689660000,USD,1.0,0.0003,BTC,41261.38,BTC-27MAY22,1650479461306,open,0.16,4.4,0.118,0.1975,0.15420947,62.36,0.15,0.0,41180.34,41180.34,56.62,0.149,8.0,0.16,8.0,68.53,,,,,38.13752,-32.52256,26.08064,4e-05,0.78519
BTC-24JUN22-30000-C,0.0005,0.0003,30000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213582,1656057600000,1624521614000,USD,1.0,0.0003,BTC,41405.01,BTC-24JUN22,1650479461301,open,0.3,15.7,0.2605,0.334,0.29263394,69.9,0.33,0.0,41180.34,41180.34,34.35,0.276,9.0,0.3015,9.0,80.48,2.1,0.0,0.33,0.33,32.08387,-17.36778,43.97475,2e-05,0.89307
BTC-30DEC22-90000-P,0.0005,0.0003,90000.0,month,BTC,False,BTC,put,0.1,0.0003,option,True,213581,1672387200000,1640851260000,USD,1.0,0.0003,BTC,42630.4,BTC-30DEC22,1650479461302,open,1.14,8.1,1.06,1.2485,1.13923224,64.22,1.099,0.0,41180.34,41180.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,74.99912,-9.49784,-595.15212,1e-05,-0.87042
BTC-30SEP22-400000-C,0.0005,0.0003,400000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213556,1664524800000,1635180323000,USD,1.0,0.0003,BTC,41979.03,BTC-30SEP22,1650479461303,open,0.0,330.4,0.0001,0.015,8.823e-05,95.05,0.0005,0.0,41180.34,41180.34,0.0,0.0,0.0,0.0005,22.0,107.86,,,,,0.59323,-0.17342,0.09649,0.0,0.0006
BTC-27MAY22-70000-C,0.0005,0.0003,70000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213576,1653638400000,1645690140000,USD,1.0,0.0003,BTC,41261.38,BTC-27MAY22,1650479461303,open,0.0,796.6,0.0001,0.0155,0.00089287,70.79,0.001,0.0,41180.34,41180.34,66.09,0.0005,120.9,0.0015,56.7,75.77,,,,,4.17054,-4.03729,0.47198,0.0,0.01231
BTC-30SEP22-50000-C,0.0005,0.0003,50000.0,month,BTC,False,BTC,call,0.1,0.0003,option,True,213575,1664524800000,1632384351000,USD,1.0,0.0003,BTC,41978.77,BTC-30SEP22,1650479462307,open,0.1,666.8,0.051,0.163,0.09573373,60.53,0.0975,0.0,41180.83,41180.83,60.06,0.0945,30.5,0.097,23.1,61.02,9.1,-0.5102,0.0955,0.1025,108.82495,-20.26115,58.51494,2e-05,0.40871
