instrument_name,tick_size,taker_commission,strike,settlement_period,settlement_currency,rfq,quote_currency,option_type,min_trade_amount,maker_commission,kind,is_active,instrument_id,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_commission,base_currency,underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,estimated_delivery_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta
ETH-24JUN22-2600-P,0.0005,0.0003,2600.0,month,ETH,False,ETH,put,1,0.0003,option,True,213597,1656057600000,1643060520000,USD,1.0,0.0003,ETH,3064.65,ETH-24JUN22,1650479492749,open,0.05,5705.0,0.0195,0.0985,0.048455,69.88,0.0465,0.0,3055.32,3055.32,69.14,0.0475,710.0,0.0485,71.0,69.9,571.0,2.1978,0.0425,0.0465,4.00649,-2.16816,-1.56347,0.00035,-0.23996
ETH-24JUN22-35000-C,0.0005,0.0003,35000.0,month,ETH,False,ETH,call,1,0.0003,option,True,213592,1656057600000,1635180412000,USD,1.0,0.0003,ETH,3064.65,ETH-24JUN22,1650479492720,open,0.0,930.0,0.0001,0.015,3e-06,133.16,0.0005,0.0,3055.32,3055.32,0.0,0.0,0.0,0.0005,130.0,182.56,,,,,0.00131,-0.00135,0.00011,0.0,2e-05
ETH-6MAY22-2600-C,0.0005,0.0003,2600.0,week,ETH,False,ETH,call,1,0.0003,option,True,214667,1651824000000,1649923260000,USD,1.0,0.0003,ETH,3053.82,SYN.ETH-6MAY22,1650479492722,open,0.17,1.0,0.1255,0.1955,0.157521,70.03,0.197,0.0,3055.32,3055.32,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.24656,-2.80483,0.94321,0.00045,0.88199
ETH-27MAY22-2800-P,0.0005,0.0003,2800.0,month,ETH,False,ETH,put,1,0.0003,option,True,213587,1653638400000,1645689660000,USD,1.0,0.0003,ETH,3059.11,ETH-27MAY22,1650479493381,open,0.04,4985.0,0.017,0.0895,0.044171,65.86,0.0411,0.0,3055.32,3055.32,65.25,0.0435,547.0,0.0445,95.0,66.16,1933.0,2.75,0.039,0.0429,3.3585,-3.02506,-1.04993,0.00054,-0.29847
ETH-29APR22-8000-P,0.0005,0.0003,8000.0,month,ETH,False,ETH,put,1,0.0003,option,True,213585,1651219200000,1644021780000,USD,1.0,0.0003,ETH,3052.01,ETH-29APR22,1650479492720,open,1.59,409.0,1.5445,1.7015,1.620631,127.36,1.6,0.0,3055.32,3055.32,0.0,1.51,25.0,0.0,0.0,0.0,25.0,0.0,1.6,1.6,2e-05,-0.00011,-1.87641,0.0,-1.0
ETH-22APR22-4600-C,0.0005,0.0003,4600.0,week,ETH,False,ETH,call,1,0.0003,option,True,213955,1650614400000,1648860960000,USD,1.0,0.0003,ETH,3055.71,ETH-22APR22,1650479492722,open,0.0,154.0,0.0001,0.015,0.0,83.71,0.0005,0.0,3055.32,3055.32,0.0,0.0,0.0,0.0005,350.0,256.69,,,,,0.0,0.0,0.0,0.0,0.0
ETH-6MAY22-2700-C,0.0005,0.0003,2700.0,week,ETH,False,ETH,call,1,0.0003,option,True,214669,1651824000000,1649923260000,USD,1.0,0.0003,ETH,3053.82,SYN.ETH-6MAY22,1650479492724,open,0.14,0.0,0.0955,0.1695,0.129591,67.85,,0.0,3055.32,3055.32,0.0,0.0,0.0,0.183,1.0,150.24,,,,,1.60349,-3.496,0.91018,0.00059,0.82869
ETH-29APR22-4000-P,0.0005,0.0003,4000.0,month,ETH,False,ETH,put,1,0.0003,option,True,213551,1651219200000,1643270460000,USD,1.0,0.0003,ETH,3051.76,ETH-29APR22,1650479493727,open,0.3,159.0,0.273,0.3585,0.311376,80.09,0.17,0.0,3055.62,3055.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.18699,-0.87462,-0.92724,0.00011,-0.98401
ETH-30DEC22-8000-P,0.0005,0.0003,8000.0,month,ETH,False,ETH,put,1,0.0003,option,True,213573,1672387200000,1640851260000,USD,1.0,0.0003,ETH,3145.0,ETH-30DEC22,1650479493727,open,1.54,15.0,1.478,1.6945,1.568753,72.75,1.602,0.0,3055.62,3055.62,0.0,0.0,0.0,2.0,1.0,217.96,,,,,4.86816,-0.69835,-53.75949,0.0001,-0.89188
ETH-30SEP22-8000-P,0.0005,0.0003,8000.0,month,ETH,False,ETH,put,1,0.0003,option,True,213569,1664524800000,1632384590000,USD,1.0,0.0003,ETH,3099.89,ETH-30SEP22,1650479493727,open,1.56,138.0,1.508,1.7,1.590466,76.47,1.292,0.0,3055.62,3055.62,0.0,0.01,1.0,0.0,0.0,0.0,,,,,2.28564,-0.53762,-35.01316,7e-05,-0.94547
